"id","sequence","sourceParagraph","sourceUrl","rowType","dateSourceParagraph","dateExpression","dateKind","startYear","startQualifier","endYear","endQualifier","alternativeYears","description","scriptureReferences","publicationReferences","categories","suggestedType"
"jw-dates-calendar-p142","74","p142","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=142","dated","p142","1750","point","1750","exact","","","","Joseph (age 17) sold into slavery","","it-1 1246; | w15 2/1 12; | bm 8; | si 294","other","event"
"jw-dates-calendar-p143","75","p143","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=143","dated","p143","1739","point","1739","exact","","","","Joseph (age 28) interprets dreams of baker and cupbearer","","w15 2/1 12-14","other","event"
"jw-dates-calendar-p144","76","p144","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=144","dated","p144","1738","point","1738","exact","","","","Isaac dies (age 180)","","it-1 1218; | si 294","death","person-boundary"
"jw-dates-calendar-p145","77","p145","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=145","dated","p145","1737","point","1737","exact","","","","Joseph (age 30) becomes prime minister of Egypt","","w15 2/1 14-15; | si 294","other","event"
"jw-dates-calendar-p146","78","p146","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=146","dated","p146","1728","point","1728","exact","","","","Jacob (age 130) moves to Egypt","","wcg 15; | it-1 460; | si 294","other","event"
"jw-dates-calendar-p147","79","p147","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=147","dated","p147","1711","point","1711","exact","","","","Jacob dies (age 147)","","wcg 15; | it-1 1247; | si 294","death","person-boundary"
"jw-dates-calendar-p148","80","p148","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=148","dated","p148","1657","point","1657","exact","","","","Joseph dies (age 110)","","nwt 1768; | si 95, | 294","death","person-boundary"
"jw-dates-calendar-p149","81","p149","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=149","dated","p149","c. 1613","point","1613","approximate","","","","Job tried","","it-2 81; | bm 9; | si 294","other","event"
"jw-dates-calendar-p150","82","p150","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=150","dated","p150","a. 1600","point","1600","after","","","","Egypt becomes world power","","wcg 15, | 104; | si 294","world-power","world-power-transition"
"jw-dates-calendar-p151","83","p151","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=151","dated","p151","1597","point","1597","exact","","","","Aaron born","","it-1 9","birth","person-boundary"
